Gender,Age,Game,other,Hours
male,14,Other,Guild Wars,0
male,16,Other,"Ive quit, this is with previous experiences (runescape)",0
male,19,EQ,,0
male,19,Other,Quit 6 months ago,0
male,20,EQ2,,0
male,21,AC1,,0
male,21,Other,"Wish, Guild Wars",0
male,23,WoW,,0
male,25,SWG,,0
male,25,Other,None,0
male,26,Other,none right now,0
male,28,EQ,,0
male,28,Other,"none yet, but planning to play Everquest 2",0
male,28,EQ,none just quit,0
male,28,Other,,0
male,30,Other,none at present,0
male,31,Other,none I recently played WoW,0
male,31,Other,None at present (waiting for DnL),0
female,32,EQ,,0
male,32,WoW,,0
female,33,DAOC,,0
male,34,DAOC,,0
male,34,EQ,,0
male,35,EQ,,0
male,38,Other,Betas only,0
female,50,Other,Guild Wars,0
male,51,EQ,,0
male,55,EQ,,0
male,56,EQ,,0
male,29,EQ,,1
male,30,SWG,,1
male,18,Other,Runescape,1
male,18,Other,Tibia,1
male,19,EQ2,,1
male,20,UO,,1
male,20,AC1,,1
male,23,UO,,1
male,24,EQ,,1
male,25,UO,,1
female,26,FFXI,,1
male,28,UO,,1
female,29,UO,,1
male,30,EQ,,1
male,30,CoH,,1
male,32,Other,WORLD WAR TWO ONLINE,1
female,34,EQ,,1
male,35,EQ,,1
female,42,UO,,1
male,46,EQ,,1
female,56,UO,,1
male,17,WoW,,2
male,17,Other,Maple Story,2
female,18,WoW,,2
male,18,EQ,,2
male,19,WoW,,2
male,19,Other,tempusmud,2
male,20,Other,The Matrix Online,2
male,20,EQ2,,2
male,21,Other,the odyssey online,2
male,21,Other,Priston Tale,2
male,23,UO,,2
male,23,UO,,2
female,24,WoW,,2
male,24,Other,world war two online,2
male,24,SWG,,2
male,25,SWG,,2
male,26,WoW,,2
male,27,SWG,,2
male,29,EQ2,,2
male,29,CoH,,2
male,31,SWG,,2
female,33,SWG,,2
male,34,EQ,,2
male,35,EQ2,,2
male,37,SWG,,2
female,40,Other,"Waiting for WoW UK, KoBra",2
male,12,Other,Maplestory,3
female,14,Other,Ragnarok,3
female,14,Other,Achaea,3
female,14,Other,Achaea,3
male,15,SWG,,3
male,15,Other,Shadowbane,3
male,18,Other,Wyvern,3
male,19,SWG,,3
male,19,Other,runescape,3
male,21,WoW,,3
male,23,WoW,,3
male,25,AO,,3
male,26,Other,Second Life,3
male,26,Other,Eve Online,3
male,26,WoW,,3
male,28,WoW,,3
male,28,Other,WWIIOL,3
female,31,WoW,,3
female,33,EQ,,3
male,33,Other,Puzzle Pirates,3
male,16,Other,Diablo II,4
male,17,WoW,,4
female,20,AO,,4
male,20,EQ2,,4
male,20,WoW,,4
female,21,Other,Ragnarok Online,4
male,21,WoW,,4
male,21,WoW,,4
male,22,WoW,,4
male,23,WoW,,4
male,23,WoW,,4
male,25,Other,second life,4
male,25,WoW,,4
male,25,EQ2,,4
female,26,EQ2,,4
female,26,EQ2,,4
female,26,FFXI,,4
male,26,WoW,,4
male,26,Other,EvE Online,4
male,26,CoH,,4
female,27,CoH,,4
male,27,Other,World War 2 online,4
male,28,WoW,,4
male,28,EQ2,,4
male,29,WoW,,4
male,30,SWG,,4
male,32,CoH,,4
male,32,DAOC,,4
female,33,WoW,,4
male,35,EQ,,4
male,35,CoH,,4
male,36,CoH,,4
male,36,EQ2,,4
female,37,WoW,,4
male,37,WoW,,4
male,39,WoW,,4
female,40,CoH,,4
female,40,DAOC,,4
female,41,EQ,,4
male,41,WoW,,4
male,42,UO,,4
male,43,EQ,,4
female,53,UO,,4
male,14,WoW,,5
male,15,EQ,,5
male,15,WoW,,5
male,15,SWG,,5
male,16,Other,Halo 2,5
male,17,Other,Guild Wars,5
male,17,WoW,,5
male,17,Other,Phantasy star online,5
male,17,WoW,,5
male,17,WoW,,5
male,17,WoW,,5
male,17,WoW,,5
male,17,EQ2,,5
female,18,Other,Tantra Online,5
male,19,WoW,,5
male,19,Other,Lineage II,5
male,19,Other,Ragnarok Online,5
male,19,FFXI,,5
male,20,WoW,,5
male,20,WoW,,5
male,20,WoW,,5
male,20,Other,WWIIOnline,5
male,21,CoH,,5
male,21,WoW,,5
male,21,FFXI,,5
male,22,Other,Second Life,5
male,22,WoW,,5
female,23,EQ,,5
male,23,SWG,,5
female,24,WoW,,5
female,24,Other,ROSE Online,5
male,24,EQ,,5
male,24,EQ,,5
male,25,Other,EVE Online,5
male,25,UO,,5
male,25,UO,,5
male,25,WoW,,5
female,26,UO,,5
male,26,WoW,,5
male,27,EQ2,,5
male,27,EQ2,,5
male,27,CoH,,5
male,27,EQ,,5
male,27,EQ2,,5
female,28,CoH,,5
female,28,WoW,,5
male,28,EQ,,5
male,28,EQ2,,5
male,28,Other,EVE Online,5
male,28,SWG,,5
male,29,AO,,5
male,29,EQ2,,5
male,29,UO,,5
male,29,SWG,,5
male,29,FFXI,,5
male,30,CoH,,5
male,30,EQ2,,5
male,30,SWG,,5
male,30,UO,,5
male,30,WoW,,5
male,30,Other,Shadowbane,5
male,30,Other,World War 2 Online,5
male,31,WoW,,5
male,31,EQ,,5
male,31,EQ,,5
male,31,WoW,,5
male,32,WoW,,5
male,32,SWG,,5
female,33,EQ,,5
male,34,WoW,,5
male,35,EQ2,,5
male,35,AO,,5
male,35,EQ2,,5
male,35,WoW,,5
male,36,AO,,5
male,37,WoW,,5
male,37,EQ,,5
male,37,EQ2,,5
male,38,DAOC,,5
male,41,EQ,,5
male,42,WoW,,5
female,49,SWG,,5
female,51,UO,,5
male,18,WoW,,6
male,14,Other,Guild Wars Beta,6
male,17,Other,Horizons,6
male,17,WoW,,6
male,17,WoW,,6
male,18,EQ,,6
male,19,UO,,6
male,19,WoW,,6
male,19,WoW,,6
male,20,WoW,,6
male,20,WoW,,6
male,20,WoW,,6
male,21,WoW,,6
male,21,WoW,,6
female,22,WoW,,6
male,22,Other,Dungeon Seige,6
male,22,WoW,,6
male,24,UO,,6
male,24,UO,,6
male,24,Other,WWIIOL,6
female,25,EQ,,6
male,25,EQ,,6
male,25,SWG,,6
male,25,WoW,,6
male,25,FFXI,,6
female,27,EQ2,,6
male,27,EQ2,,6
male,27,WoW,,6
male,27,CoH,,6
male,27,SWG,,6
male,27,DAOC,,6
male,27,WoW,,6
male,27,WoW,,6
female,28,UO,,6
male,28,CoH,,6
male,29,WoW,,6
male,29,WoW,,6
male,30,EQ,,6
male,30,EQ2,,6
male,30,WoW,,6
male,31,Other,Eve Online,6
male,33,DAOC,,6
female,34,EQ2,,6
female,35,Other,Runescape,6
male,35,EQ2,,6
male,35,Other,World War II Online,6
male,36,WoW,,6
male,36,EQ2,,6
male,37,Other,NWN,6
male,38,CoH,,6
male,38,CoH,,6
male,39,WoW,,6
male,40,EQ,,6
male,40,DAOC,,6
female,41,EQ2,,6
female,46,AC1,,6
male,54,EQ2,,6
male,16,SWG,,7
male,18,WoW,,7
male,18,AO,,7
male,18,WoW,,7
male,18,WoW,,7
male,18,Other,zelderex.com,7
male,18,Other,zelderex.com,7
female,22,WoW,,7
male,23,WoW,,7
male,23,SWG,,7
male,24,WoW,,7
male,25,WoW,,7
male,25,FFXI,,7
female,26,WoW,,7
male,26,WoW,,7
male,28,EQ2,,7
male,29,CoH,,7
male,35,EQ2,,7
female,37,EQ2,,7
male,37,UO,,7
male,39,WoW,,7
male,13,WoW,,8
female,15,Other,Kingdom of Loathing,8
male,15,WoW,,8
male,16,EQ,,8
male,16,Other,Arcanum,8
male,16,EQ,,8
male,16,WoW,,8
male,17,WoW,,8
male,17,WoW,,8
male,18,Other,Counter-Strike,8
male,18,WoW,,8
male,18,WoW,,8
male,18,AO,,8
male,19,EQ2,,8
female,20,EQ2,,8
female,21,WoW,,8
male,21,EQ,,8
male,21,UO,,8
male,21,WoW,,8
male,21,Other,WWII Online,8
male,21,WoW,,8
male,21,WoW,,8
male,22,WoW,,8
male,22,WoW,,8
male,22,AO,,8
male,23,WoW,,8
male,23,EQ2,,8
male,23,WoW,,8
male,23,WoW,,8
male,23,WoW,,8
male,23,AO,,8
male,24,EQ2,,8
female,25,UO,,8
male,25,EQ,,8
male,25,EQ,,8
male,25,WoW,,8
male,25,WoW,,8
female,26,WoW,,8
male,26,WoW,,8
male,26,SWG,,8
male,26,EQ,,8
male,26,UO,,8
male,26,EQ2,,8
male,26,WoW,,8
male,26,WoW,,8
male,27,EQ,,8
male,27,FFXI,,8
male,27,CoH,,8
male,28,SWG,,8
male,28,SWG,,8
male,29,EQ,,8
male,29,WoW,,8
male,29,Other,WWIIOL,8
female,30,AO,,8
female,30,EQ2,,8
male,30,WoW,,8
male,30,Other,World War 2 Online,8
male,30,WoW,,8
female,31,EQ,,8
male,31,WoW,,8
male,31,Other,Guild Wars,8
male,31,Other,Beta testing ATM,8
male,31,WoW,,8
male,31,CoH,,8
male,31,WoW,,8
male,32,WoW,,8
male,32,CoH,,8
female,33,SWG,,8
male,33,WoW,,8
male,33,WoW,,8
male,33,EQ2,,8
male,34,CoH,,8
male,34,WoW,,8
male,35,EQ,,8
male,35,EQ2,,8
female,36,WoW,,8
male,36,EQ,,8
male,37,WoW,,8
male,38,EQ,,8
male,38,EQ2,,8
male,39,WoW,,8
female,40,Other,daoc,8
male,40,Other,wwii online,8
female,41,WoW,,8
male,41,WoW,,8
male,41,UO,,8
male,42,CoH,,8
male,43,DAOC,,8
male,43,Other,spacefed galactic conquest at www.spacefed.com,8
male,44,WoW,,8
male,50,WoW,,8
male,51,WoW,,8
male,15,Other,Neverwinter Nights,9
male,16,WoW,,9
male,17,WoW,,9
male,24,EQ,,9
female,28,WoW,,9
male,33,WoW,,9
male,35,DAOC,,9
male,44,Other,World War 2 online,9
male,14,WoW,,10
male,16,WoW,,10
male,16,WoW,,10
male,16,WoW,,10
male,16,WoW,,10
female,17,FFXI,,10
male,17,AO,,10
male,17,EQ2,,10
male,17,EQ2,,10
male,17,Other,I play ffxi and DAOC,10
female,18,EQ2,,10
