Gender,Age,Game,other,Hours
male,21-25,WoW,,0
male,31-35,WoW,,0
male,16-20,WoW,,2
female,16-20,WoW,,2
male,16-20,WoW,,2
female,21-25,WoW,,2
male,26-30,WoW,,2
male,21-25,WoW,,3
male,21-25,WoW,,3
male,26-30,WoW,,3
male,26-30,WoW,,3
female,31-35,WoW,,3
male,16-20,WoW,,4
male,16-20,WoW,,4
male,21-25,WoW,,4
male,21-25,WoW,,4
male,21-25,WoW,,4
male,21-25,WoW,,4
male,21-25,WoW,,4
male,26-30,WoW,,4
male,26-30,WoW,,4
male,26-30,WoW,,4
male,26-30,WoW,,4
female,31-35,WoW,,4
female,36-40,WoW,,4
male,36-40,WoW,,4
male,36-40,WoW,,4
male,41-45,WoW,,4
male,<=15,WoW,,5
male,<=15,WoW,,5
male,16-20,WoW,,5
male,16-20,WoW,,5
male,16-20,WoW,,5
male,16-20,WoW,,5
male,16-20,WoW,,5
male,16-20,WoW,,5
male,16-20,WoW,,5
male,16-20,WoW,,5
male,16-20,WoW,,5
male,21-25,WoW,,5
male,21-25,WoW,,5
female,21-25,WoW,,5
male,26-30,WoW,,5
male,26-30,WoW,,5
female,26-30,WoW,,5
male,31-35,WoW,,5
male,31-35,WoW,,5
male,31-35,WoW,,5
male,31-35,WoW,,5
male,31-35,WoW,,5
male,36-40,WoW,,5
male,36-40,WoW,,5
male,41-45,WoW,,5
male,16-20,WoW,,6
male,16-20,WoW,,6
male,16-20,WoW,,6
male,16-20,WoW,,6
male,16-20,WoW,,6
male,16-20,WoW,,6
male,16-20,WoW,,6
male,16-20,WoW,,6
male,21-25,WoW,,6
male,21-25,WoW,,6
female,21-25,WoW,,6
male,21-25,WoW,,6
male,26-30,WoW,,6
male,26-30,WoW,,6
male,26-30,WoW,,6
male,26-30,WoW,,6
male,26-30,WoW,,6
male,26-30,WoW,,6
male,31-35,WoW,,6
male,36-40,WoW,,6
male,36-40,WoW,,6
male,16-20,WoW,,7
male,16-20,WoW,,7
male,16-20,WoW,,7
female,21-25,WoW,,7
male,21-25,WoW,,7
male,21-25,WoW,,7
male,26-30,WoW,,7
female,26-30,WoW,,7
male,26-30,WoW,,7
male,36-40,WoW,,7
male,<=15,WoW,,8
male,<=15,WoW,,8
male,16,WoW,,8
male,16-20,WoW,,8
male,16-20,WoW,,8
male,16-20,WoW,,8
male,16-20,WoW,,8
female,21-25,WoW,,8
male,21-25,WoW,,8
male,21-25,WoW,,8
male,21-25,WoW,,8
male,21-25,WoW,,8
male,21-25,WoW,,8
male,21-25,WoW,,8
male,21-25,WoW,,8
male,21-25,WoW,,8
male,21-25,WoW,,8
male,26-30,WoW,,8
male,26-30,WoW,,8
female,26-30,WoW,,8
male,26-30,WoW,,8
male,26-30,WoW,,8
male,26-30,WoW,,8
male,26-30,WoW,,8
male,31-35,WoW,,8
male,31-35,WoW,,8
male,31-35,WoW,,8
male,31-35,WoW,,8
male,31-35,WoW,,8
male,31-35,WoW,,8
male,31-35,WoW,,8
male,31-35,WoW,,8
male,31-35,WoW,,8
female,36-40,WoW,,8
male,36-40,WoW,,8
male,36-40,WoW,,8
female,41-45,WoW,,8
male,41-45,WoW,,8
male,41-45,WoW,,8
male,50,WoW,,8
male,51-55,WoW,,8
male,16,WoW,,9
male,16-20,WoW,,9
female,26-30,WoW,,9
male,31-35,WoW,,9
male,<=15,WoW,,10
male,16,WoW,,10
male,16,WoW,,10
male,16,WoW,,10
male,16,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
male,16-20,WoW,,10
female,21-25,WoW,,10
male,21-25,WoW,,10
male,21-25,WoW,,10
male,21-25,WoW,,10
male,21-25,WoW,,10
male,21-25,WoW,,10
male,21-25,WoW,,10
male,21-25,WoW,,10
male,21-25,WoW,,10
female,21-25,WoW,,10
male,21-25,WoW,,10
male,21-25,WoW,,10
male,21-25,WoW,,10
male,21-25,WoW,,10
male,21-25,WoW,,10
male,21-25,WoW,,10
male,21-25,WoW,,10
male,21-25,WoW,,10
male,21-25,WoW,,10
male,21-25,WoW,,10
male,21-25,WoW,,10
male,21-25,WoW,,10
male,21-25,WoW,,10
female,26-30,WoW,,10
female,26-30,WoW,,10
male,26-30,WoW,,10
male,26-30,WoW,,10
male,26-30,WoW,,10
male,26-30,WoW,,10
male,26-30,WoW,,10
male,26-30,WoW,,10
male,26-30,WoW,,10
male,26-30,WoW,,10
male,26-30,WoW,,10
male,26-30,WoW,,10
male,26-30,WoW,,10
male,26-30,WoW,,10
male,26-30,WoW,,10
male,26-30,WoW,,10
male,26-30,WoW,,10
male,26-30,WoW,,10
male,26-30,WoW,,10
male,26-30,WoW,,10
male,26-30,WoW,,10
male,26-30,WoW,,10
male,26-30,WoW,,10
male,26-30,WoW,,10
male,26-30,WoW,,10
male,26-30,WoW,,10
male,31-35,WoW,,10
male,31-35,WoW,,10
male,31-35,WoW,,10
male,31-35,WoW,,10
male,31-35,WoW,,10
male,31-35,WoW,,10
male,31-35,WoW,,10
female,31-35,WoW,,10
male,31-35,WoW,,10
male,31-35,WoW,,10
male,31-35,WoW,,10
male,31-35,WoW,,10
male,31-35,WoW,,10
male,31-35,WoW,,10
male,31-35,WoW,,10
female,31-35,WoW,,10
male,31-35,WoW,,10
male,31-35,WoW,,10
male,31-35,WoW,,10
male,31-35,WoW,,10
male,31-35,WoW,,10
male,31-35,WoW,,10
male,31-35,WoW,,10
male,31-35,WoW,,10
male,31-35,WoW,,10
male,31-35,WoW,,10
female,31-35,WoW,,10
male,31-35,WoW,,10
male,31-35,WoW,,10
male,31-35,WoW,,10
male,36-40,WoW,,10
male,36-40,WoW,,10
male,36-40,WoW,,10
female,36-40,WoW,,10
male,36-40,WoW,,10
male,36-40,WoW,,10
male,36-40,WoW,,10
male,36-40,WoW,,10
male,36-40,WoW,,10
male,36-40,WoW,,10
male,36-40,WoW,,10
male,36-40,WoW,,10
male,36-40,WoW,,10
male,36-40,WoW,,10
male,40,WoW,,10
male,41-45,WoW,,10
male,41-45,WoW,,10
male,41-45,WoW,,10
female,41-45,WoW,,10
male,45,WoW,,10
male,50,WoW,,10
male,50,WoW,,10
male,51-55,WoW,,10
female,51-55,WoW,,10
male,16-20,WoW,,11
male,21-25,WoW,,11
male,<=15,WoW,,12
male,16-20,WoW,,12
male,16-20,WoW,,12
male,16-20,WoW,,12
male,16-20,WoW,,12
male,16-20,WoW,,12
male,21-25,WoW,,12
male,21-25,WoW,,12
male,21-25,WoW,,12
male,21-25,WoW,,12
male,21-25,WoW,,12
male,21-25,WoW,,12
male,21-25,WoW,,12
male,21-25,WoW,,12
