Gender,Age,Game,other,Hours
male,19,EQ,,0
male,28,EQ,,0
male,28,EQ,none just quit,0
female,32,EQ,,0
male,34,EQ,,0
male,35,EQ,,0
male,51,EQ,,0
male,55,EQ,,0
male,56,EQ,,0
male,29,EQ,,1
male,24,EQ,,1
male,30,EQ,,1
female,34,EQ,,1
male,35,EQ,,1
male,46,EQ,,1
male,18,EQ,,2
male,34,EQ,,2
female,33,EQ,,3
male,35,EQ,,4
female,41,EQ,,4
male,43,EQ,,4
male,15,EQ,,5
female,23,EQ,,5
male,24,EQ,,5
male,24,EQ,,5
male,27,EQ,,5
male,28,EQ,,5
male,31,EQ,,5
male,31,EQ,,5
female,33,EQ,,5
male,37,EQ,,5
male,41,EQ,,5
male,18,EQ,,6
female,25,EQ,,6
male,25,EQ,,6
male,30,EQ,,6
male,40,EQ,,6
male,16,EQ,,8
male,16,EQ,,8
male,21,EQ,,8
male,25,EQ,,8
male,25,EQ,,8
male,26,EQ,,8
male,27,EQ,,8
male,29,EQ,,8
female,31,EQ,,8
male,35,EQ,,8
male,36,EQ,,8
male,38,EQ,,8
male,24,EQ,,9
male,18,EQ,,10
male,18,EQ,,10
male,19,EQ,,10
male,19,EQ,,10
male,20,EQ,,10
male,21,EQ,,10
male,22,EQ,,10
male,23,EQ,,10
male,23,EQ,,10
male,25,EQ,,10
male,26,EQ,,10
male,26,EQ,,10
female,27,EQ,,10
female,27,EQ,,10
male,33,EQ,,10
male,35,EQ,,10
male,39,EQ,,10
male,39,EQ,,10
male,42,EQ,,10
male,44,EQ,,10
female,50,EQ,,10
male,24,EQ,,12
female,26,EQ,,12
male,29,EQ,,12
male,32,EQ,,12
male,33,EQ,,12
male,35,EQ,,12
male,36,EQ,,12
male,37,EQ,,12
male,39,EQ,,12
male,46,EQ,,12
male,53,EQ,,12
female,58,EQ,,12
female,22,EQ,,14
male,32,EQ,,14
female,18,EQ,,15
male,26,EQ,,15
male,28,EQ,,15
male,28,EQ,,15
male,29,EQ,,15
male,31,EQ,,15
male,32,EQ,,15
male,34,EQ,,15
female,35,EQ,,15
male,36,EQ,,15
male,37,EQ,,15
female,39,EQ,,15
male,39,EQ,,15
male,40,EQ,,15
female,42,EQ,,15
female,47,EQ,,15
male,23,EQ,,16
female,24,EQ,,16
female,31,EQ,,16
female,43,EQ,,16
male,51,EQ,,16
male,26,EQ,,18
male,28,EQ,,18
female,39,EQ,,18
male,50,EQ,,18
female,17,EQ,,20
male,17,EQ,,20
male,18,EQ,,20
female,19,EQ,,20
male,23,EQ,,20
male,24,EQ,,20
male,24,EQ,,20
male,24,EQ,,20
male,25,EQ,,20
male,25,EQ,,20
male,26,EQ,,20
female,29,EQ,,20
male,29,EQ,,20
male,30,EQ,,20
male,31,EQ,,20
male,32,EQ,,20
male,33,EQ,,20
male,34,EQ,,20
male,35,EQ,,20
female,36,EQ,,20
male,36,EQ,,20
female,37,EQ,,20
female,37,EQ,,20
male,38,EQ,,20
male,38,EQ,,20
male,39,EQ,,20
male,40,EQ,,20
male,42,EQ,,20
male,43,EQ,,20
male,45,EQ,,20
male,45,EQ,,20
male,45,EQ,,20
female,46,EQ,,20
male,47,EQ,,20
male,48,EQ,,20
female,22,EQ,,21
male,40,EQ,,22
male,41,EQ,,22
male,19,EQ,,24
female,34,EQ,,24
female,42,EQ,,24
male,67,EQ,,24
male,19,EQ,,25
male,24,EQ,,25
male,27,EQ,,25
male,29,EQ,,25
male,30,EQ,,25
male,32,EQ,,25
female,33,EQ,,25
male,38,EQ,,25
male,46,EQ,,25
female,49,EQ,,25
male,56,EQ,,25
male,56,EQ,,25
female,58,EQ,,25
male,36,EQ,,28
male,16,EQ,,30
male,16,EQ,,30
male,18,EQ,,30
male,19,EQ,,30
male,20,EQ,,30
male,21,EQ,,30
male,22,EQ,,30
male,22,EQ,,30
female,23,EQ,,30
male,23,EQ,,30
male,24,EQ,,30
male,24,EQ,,30
male,26,EQ,,30
male,26,EQ,,30
male,26,EQ,,30
male,27,EQ,,30
male,27,EQ,,30
male,28,EQ,,30
male,30,EQ,,30
male,32,EQ,,30
male,33,EQ,,30
female,34,EQ,,30
male,34,EQ,,30
male,34,EQ,,30
female,35,EQ,,30
female,36,EQ,,30
male,36,EQ,,30
female,37,EQ,,30
male,39,EQ,,30
male,39,EQ,,30
female,41,EQ,,30
male,41,EQ,,30
male,42,EQ,,30
female,49,EQ,,30
male,32,EQ,,33
male,16,EQ,,35
male,17,EQ,,35
male,28,EQ,,35
male,28,EQ,,35
female,31,EQ,,35
male,33,EQ,,35
male,47,EQ,,35
male,19,EQ,,40
female,23,EQ,,40
female,24,EQ,,40
male,24,EQ,,40
female,25,EQ,,40
male,27,EQ,,40
female,28,EQ,,40
male,28,EQ,,40
male,33,EQ,,40
male,33,EQ,,40
male,33,EQ,,40
female,36,EQ,,40
male,37,EQ,,40
female,38,EQ,,40
male,40,EQ,,40
male,40,EQ,,40
female,44,EQ,,40
female,51,EQ,,40
male,18,EQ,,45
female,30,EQ,,45
male,29,EQ,,50
female,42,EQ,,50
male,49,EQ,,50
female,61,EQ,,50
male,21,EQ,,60
male,26,EQ,,60
female,69,EQ,,60
male,21,EQ,,65
male,21,EQ,,70
female,29,EQ,,70
male,32,EQ,,80
male,41,EQ,,99
male,41,EQ,,99
