Gender,Age,Game,Hours
male,14-15,Other,0
male,16-17,Other,0
male,18-19,EQ,0
male,18-19,Other,0
male,20-21,EQ2,0
male,20-21,AC1,0
male,20-21,Other,0
male,22-23,WoW,0
male,24-25,SWG,0
male,24-25,Other,0
male,26-27,Other,0
male,28-29,EQ,0
male,28-29,Other,0
male,28-29,EQ,0
male,28-29,Other,0
male,30-31,Other,0
male,30-31,Other,0
male,30-31,Other,0
female,32-33,EQ,0
male,32-33,WoW,0
female,32-33,DAOC,0
male,34-35,DAOC,0
male,34-35,EQ,0
male,34-35,EQ,0
male,38-39,Other,0
female,50-51,Other,0
male,50-51,EQ,0
male,54-55,EQ,0
male,56-57,EQ,0
male,28-29,EQ,0
male,30-31,SWG,0
male,18-19,Other,0
male,18-19,EQ2,0
male,20-21,UO,0
male,20-21,AC1,0
male,22-23,UO,0
male,24-25,EQ,0
male,24-25,UO,0
female,26-27,FFXI,0
male,28-29,UO,0
female,28-29,UO,0
male,30-31,EQ,0
male,30-31,CoH,0
male,32-33,Other,0
female,34-35,EQ,0
male,34-35,EQ,0
female,42-43,UO,0
male,46-47,EQ,0
female,56-57,UO,0
male,16-17,WoW,0
male,16-17,Other,0
female,18-19,WoW,0
male,18-19,EQ,0
male,18-19,WoW,0
male,18-19,Other,0
male,20-21,Other,0
male,20-21,EQ2,0
male,20-21,Other,0
male,20-21,Other,0
male,22-23,UO,0
male,22-23,UO,0
female,24-25,WoW,0
male,24-25,Other,0
male,24-25,SWG,0
male,24-25,SWG,0
male,26-27,WoW,0
male,26-27,SWG,0
male,28-29,EQ2,0
male,28-29,CoH,0
male,30-31,SWG,0
female,32-33,SWG,0
male,34-35,EQ,0
male,34-35,EQ2,0
male,36-37,SWG,0
female,40-41,Other,0
male,12-13,Other,1
female,14-15,Other,1
female,14-15,Other,1
male,14-15,SWG,1
male,14-15,Other,1
male,18-19,Other,1
male,18-19,SWG,1
male,20-21,WoW,1
male,22-23,WoW,1
male,24-25,AO,1
male,26-27,Other,1
male,26-27,Other,1
male,26-27,WoW,1
male,28-29,WoW,1
male,28-29,Other,1
female,30-31,WoW,1
female,32-33,EQ,1
male,32-33,Other,1
male,16-17,Other,1
male,16-17,WoW,1
female,20-21,AO,1
male,20-21,EQ2,1
male,20-21,WoW,1
female,20-21,Other,1
male,20-21,WoW,1
male,20-21,WoW,1
male,22-23,WoW,1
male,22-23,WoW,1
male,22-23,WoW,1
male,24-25,Other,1
male,24-25,WoW,1
male,24-25,EQ2,1
female,26-27,EQ2,1
female,26-27,EQ2,1
female,26-27,FFXI,1
male,26-27,WoW,1
male,26-27,CoH,1
female,26-27,CoH,1
male,28-29,WoW,1
male,28-29,EQ2,1
male,28-29,WoW,1
male,30-31,SWG,1
male,32-33,CoH,1
male,32-33,DAOC,1
female,32-33,WoW,1
male,34-35,EQ,1
male,34-35,CoH,1
male,36-37,CoH,1
male,36-37,EQ2,1
female,36-37,WoW,1
male,36-37,WoW,1
male,38-39,WoW,1
female,40-41,CoH,1
female,40-41,DAOC,1
female,40-41,EQ,1
male,40-41,WoW,1
male,42-43,UO,1
male,42-43,EQ,1
female,52-53,UO,1
male,14-15,WoW,1
male,14-15,EQ,1
male,14-15,WoW,1
male,14-15,SWG,1
male,16-17,Other,1
male,16-17,WoW,1
male,16-17,Other,1
male,16-17,WoW,1
male,16-17,WoW,1
male,16-17,WoW,1
male,16-17,WoW,1
male,16-17,EQ2,1
female,18-19,Other,1
male,18-19,WoW,1
male,18-19,Other,1
male,18-19,FFXI,1
male,20-21,WoW,1
male,20-21,WoW,1
male,20-21,WoW,1
male,20-21,Other,1
male,20-21,CoH,1
male,20-21,WoW,1
male,20-21,FFXI,1
male,22-23,Other,1
male,22-23,WoW,1
female,22-23,EQ,1
male,22-23,SWG,1
female,24-25,WoW,1
female,24-25,Other,1
male,24-25,EQ,1
male,24-25,EQ,1
male,24-25,Other,1
male,24-25,UO,1
male,24-25,UO,1
male,24-25,WoW,1
female,26-27,UO,1
male,26-27,WoW,1
male,26-27,EQ2,1
